date,cpi,gdp,snp,unemp,inflation_by_month,inflation_by_year,stocks,recession,prez_gop,gov_gop,sen_gop,rep_gop,prez_dem,gov_dem,sen_dem,rep_dem,inflation
1947-01-01,21.48,NA,NA,NA,NA,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-02-01,21.62,NA,NA,NA,-0.6517690875232907,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-03-01,22,NA,NA,NA,-1.757631822386685,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-04-01,22,NA,NA,NA,-0,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-05-01,21.95,NA,NA,NA,0.2272727272727315,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-06-01,22.08,NA,NA,NA,-0.5922551252847352,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-07-01,22.23,NA,NA,NA,-0.6793478260869623,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-08-01,22.4,NA,NA,NA,-0.7647323436797082,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-09-01,22.84,NA,NA,NA,-1.9642857142857295,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-10-01,22.91,NA,NA,NA,-0.3064798598949148,NA,NA,FALSE,0,23,51,253,1,23,45,198,NA
1947-11-01,23.06,NA,NA,NA,-0.6547359231776406,NA,NA,FALSE,0,24,51,253,1,23,45,198,NA
1947-12-01,23.41,NA,NA,NA,-1.5177797051170838,NA,NA,FALSE,0,24,51,253,1,23,45,198,NA
1948-01-01,23.68,9.50226,NA,-3.4,-1.1533532678342562,-10.242085661080068,NA,FALSE,0,22,53,253,1,24,48,198,-10.242085661080068
1948-02-01,23.67,9.50226,NA,-3.8,0.04222972972972583,-9.481961147086038,NA,FALSE,0,22,53,253,1,24,48,198,-9.481961147086038
1948-03-01,23.5,9.50226,NA,-4,0.7182087029995898,-6.818181818181812,NA,FALSE,0,22,53,253,1,24,48,198,-6.818181818181812
1948-04-01,23.82,10.79984,NA,-3.9,-1.3617021276595809,-8.272727272727277,NA,FALSE,0,22,53,253,1,24,48,198,-8.272727272727277
1948-05-01,24.01,10.79984,NA,-3.5,-0.7976490344248521,-9.384965831435089,NA,FALSE,0,22,53,253,1,24,48,198,-9.384965831435089
1948-06-01,24.15,10.79984,NA,-3.6,-0.5830903790087438,-9.375,NA,FALSE,0,22,53,253,1,24,48,198,-9.375
1948-07-01,24.4,11.7553,NA,-3.6,-1.0351966873705987,-9.761583445793963,NA,FALSE,0,22,53,253,1,24,48,198,-9.761583445793963
1948-08-01,24.43,11.7553,NA,-3.9,-0.12295081967212962,-9.062499999999996,NA,FALSE,0,22,53,253,1,24,48,198,-9.062499999999996
1948-09-01,24.36,11.7553,NA,-3.8,0.2865329512893977,-6.654991243432562,NA,FALSE,0,22,53,253,1,24,48,198,-6.654991243432562
1948-10-01,24.31,7.83711,NA,-3.7,0.20525451559935126,-6.110868616324749,NA,FALSE,0,22,53,253,1,24,48,198,-6.110868616324749
1948-11-01,24.16,7.83711,NA,-3.8,0.6170300287947295,-4.770164787510844,NA,TRUE,0,22,53,253,1,24,48,198,-4.770164787510844
1948-12-01,24.05,7.83711,NA,-4,0.4552980132450313,-2.733874412644166,NA,TRUE,0,22,53,253,1,24,48,198,-2.733874412644166
1949-01-01,24.01,3.45605,NA,-4.3,0.16632016632016633,-1.3935810810810967,NA,TRUE,0,18,45,177,1,29,58,269,-1.3935810810810967
1949-02-01,23.91,3.45605,NA,-4.7,0.4164931278633932,-1.0139416983523386,NA,TRUE,0,18,45,177,1,29,58,269,-1.0139416983523386
1949-03-01,23.91,3.45605,NA,-5,-0,-1.744680851063829,NA,TRUE,0,18,45,177,1,29,58,269,-1.744680851063829
1949-04-01,23.92,-0.43972,NA,-5.3,-0.04182350480970154,-0.4198152812762368,NA,TRUE,0,18,45,177,1,29,58,269,-0.4198152812762368
1949-05-01,23.91,-0.43972,NA,-6.1,0.04180602006689238,0.4164931278633932,NA,TRUE,0,18,45,177,1,29,58,269,0.4164931278633932
1949-06-01,23.92,-0.43972,NA,-6.2,-0.04182350480970154,0.9523809523809379,NA,TRUE,0,18,45,177,1,29,58,269,0.9523809523809379
1949-07-01,23.7,-2.21825,NA,-6.7,0.9197324414715768,2.868852459016391,NA,TRUE,0,18,45,177,1,30,58,269,2.868852459016391
1949-08-01,23.7,-2.21825,NA,-6.8,-0,2.988129349160873,NA,TRUE,0,18,45,177,1,30,58,269,2.988129349160873
1949-09-01,23.75,-2.21825,NA,-6.6,-0.21097046413502962,2.504105090311981,NA,TRUE,0,18,45,177,1,30,58,269,2.504105090311981
1949-10-01,23.67,-3.45565,NA,-7.9,0.3368421052631465,2.6326614561908546,NA,TRUE,0,18,45,177,1,30,58,269,2.6326614561908546
1949-11-01,23.7,-3.45565,NA,-6.4,-0.12674271229402567,1.9039735099337762,NA,FALSE,0,18,45,177,1,30,58,269,1.9039735099337762
1949-12-01,23.61,-3.45565,NA,-6.6,0.37974683544304,1.8295218295218296,NA,FALSE,0,18,45,177,1,30,58,269,1.8295218295218296
1950-01-01,23.51,2.10603,NA,-6.5,0.42354934349850826,2.082465639316955,NA,FALSE,0,18,44,177,1,29,57,269,2.082465639316955
1950-02-01,23.61,2.10603,NA,-6.4,-0.42535091450446316,1.2547051442910906,NA,FALSE,0,18,44,177,1,29,57,269,1.2547051442910906
1950-03-01,23.64,2.10603,NA,-6.3,-0.12706480304955914,1.129234629861986,NA,FALSE,0,18,44,177,1,29,57,269,1.129234629861986
1950-04-01,23.65,6.99301,NA,-5.8,-0.04230118443315778,1.1287625418060276,NA,FALSE,0,18,44,177,1,29,57,269,1.1287625418060276
1950-05-01,23.77,6.99301,NA,-5.5,-0.5073995771670337,0.5855290673358438,NA,FALSE,0,18,44,177,1,29,57,269,0.5855290673358438
1950-06-01,23.88,6.99301,NA,-5.4,-0.462768195204033,0.16722408026756952,NA,FALSE,0,18,44,177,1,29,57,269,0.16722408026756952
1950-07-01,24.07,12.87962,NA,-5,-0.7956448911222935,-1.561181434599157,NA,FALSE,0,18,44,177,1,29,57,269,-1.561181434599157
1950-08-01,24.2,12.87962,NA,-4.5,-0.540091400083087,-2.1097046413502074,NA,FALSE,0,18,44,177,1,29,57,269,-2.1097046413502074
1950-09-01,24.34,12.87962,NA,-4.4,-0.5785123966942196,-2.4842105263158,NA,FALSE,0,18,44,177,1,29,57,269,-2.4842105263158
1950-10-01,24.5,18.19188,NA,-4.2,-0.6573541495480617,-3.50654837346851,NA,FALSE,0,18,44,177,1,29,57,269,-3.50654837346851
1950-11-01,24.6,18.19188,NA,-4.2,-0.40816326530612734,-3.797468354430378,NA,FALSE,0,18,44,177,1,29,57,269,-3.797468354430378
1950-12-01,24.98,18.19188,NA,-4.3,-1.5447154471544655,-5.80262600592969,NA,FALSE,0,18,44,177,1,29,57,269,-5.80262600592969
1951-01-01,25.38,19.63016,NA,-3.7,-1.601281024819845,-7.9540621012335055,NA,FALSE,0,24,47,207,1,22,51,242,-7.9540621012335055
1951-02-01,25.83,19.63016,NA,-3.4,-1.773049645390068,-9.402795425667087,NA,FALSE,0,24,47,207,1,22,51,242,-9.402795425667087
1951-03-01,25.88,19.63016,NA,-3.4,-0.19357336430507743,-9.475465313028764,NA,FALSE,0,24,47,207,1,22,51,242,-9.475465313028764
1951-04-01,25.92,18.50705,NA,-3.1,-0.15455950540959051,-9.598308668076116,NA,FALSE,0,24,47,207,1,22,51,242,-9.598308668076116
1951-05-01,25.99,18.50705,NA,-3,-0.2700617283950546,-9.339503575936048,NA,FALSE,0,24,47,207,1,22,51,242,-9.339503575936048
1951-06-01,25.93,18.50705,NA,-3.2,0.2308580223162715,-8.584589614740379,NA,FALSE,0,24,47,207,1,22,51,242,-8.584589614740379
1951-07-01,25.91,14.03566,NA,-3.1,0.07713073659852965,-7.644370585791438,NA,FALSE,0,24,47,207,1,22,51,242,-7.644370585791438
